,match_id,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,home_team_player_6,home_team_player_7,home_team_player_8,home_team_player_9,home_team_player_10,home_team_player_11,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5,away_team_player_6,away_team_player_7,away_team_player_8,away_team_player_9,away_team_player_10,away_team_player_11,stadium_name,weather,temperature,humidity
0,458,GK 前川 和也 1,DF 佐藤 康之 2,DF 柳本 啓成 3,DF 片野坂 知宏 5,DF 森山 佳郎 4,MF 風間 八宏 8,MF 島 卓視 6,MF 森保 一 7,MF 盧 廷潤 9,MF チェルニー 11,FW 高木 琢也 10,GK ﾊｰﾌﾅｰ・ﾃﾞｨﾄﾞ 1,DF ガルサ 5,DF 小杉 敏之 4,DF 藤川 久孝 3,DF 小川 誠一 2,MF 江川 重光 8,MF ジョルジーニョ 7,MF 鶴田 道弘 6,MF エリベウトン 11,FW 後藤 太郎 9,FW 森山 泰行 10,広島ビッグアーチ,曇,7.0,64%
1,462,GK シジマール 1,DF 堀池 巧 4,DF 内藤 直樹 2,DF 山田 泰寛 6,DF ロナウド 3,MF 澤登 正朗 10,MF トニーニョ 8,MF 三浦 泰年 5,FW 向島 建 11,FW 長谷川 健太 9,FW 永島 昭浩 7,GK 森 敦彦 1,DF 岩井 厚裕 4,DF 大嶽 直人 6,DF 薩川 了洋 2,DF 渡辺 一平 3,MF 山口 素弘 5,MF エドゥー 10,MF 前園 真聖 7,MF バウベル 8,FW 前田 治 9,FW アマリージャ 11,日本平運動公園球技場,雨,16.0,49%
2,460,GK 下川 健一 1,DF 山本 健二 3,DF 宮澤 ミッシェル 5,DF 五十嵐 和也 4,DF 木澤 正徳 2,MF 後藤 義一 8,MF フランタ 6,MF 江尻 篤彦 7,MF リトバルスキー 10,FW オッツェ 11,FW 城 彰二 9,GK 本並 健治 1,DF ツベイバ 4,DF 島田 貴裕 2,DF 今藤 幸治 3,DF 石井 壮二郎 6,MF 礒貝 洋光 10,MF 松山 吉之 8,MF フラビオ 5,MF アレイニコフ 7,FW 山口 敏弘 9,FW 森岡 茂 11,市原臨海競技場,曇のち雨,16.0,34%
3,461,GK 松永 成立 1,DF 平川 弘 2,DF 小村 徳男 5,DF 井原 正巳 4,DF 永山 邦夫 3,MF 水沼 貴史 8,MF 野田 知 7,MF 山田 隆裕 10,MF ディアス 9,MF サパタ 6,FW メディナベージョ 11,GK 土田 尚史 1,DF 堀 孝史 2,DF 田口 禎則 3,DF チョウ キジェ 4,DF 杉山 弘一 5,MF 柱谷 幸一 7,MF 菊原 志郎 8,MF 保坂 信之 6,MF ルンメニゲ 10,FW 福田 正博 9,FW 水内 猛 11,横浜市三ツ沢総合公園球技場,曇のち雨,16.0,32%
4,459,GK 古川 昌明 1,DF 大場 賢治 3,DF 大野 俊三 5,DF 奥野 僚右 4,DF 秋田 豊 2,MF 本田 泰人 6,MF サントス 8,MF 黒崎 比差支 9,MF 吉田 康弘 10,FW 長谷川 祥之 11,FW アルシンド 7,GK 森下 申一 1,DF パウス 3,DF 勝矢 寿延 5,DF 東川 昌典 4,DF 遠藤 昌浩 2,MF 古俣 健次 6,MF ファネンブルグ 10,MF 吉田 裕幸 8,MF 藤田 俊哉 7,FW 中山 雅史 9,FW 鈴木 将方 11,県立カシマサッカースタジアム,曇,15.0,45%
5,463,GK 藤川 孝幸 1,DF 柱谷 哲二 5,DF 石川 康 2,DF ペレイラ 3,DF パウロ 6,MF 加藤 善之 4,MF ラモス 瑠偉 10,MF 北澤 豪 8,MF ビスマルク 7,FW 武田 修宏 9,FW 三浦 知良 11,GK 古島 清人 1,DF 名塚 善寛 6,DF 名良橋 晃 2,DF 岩本 輝雄 4,DF 渡辺 卓 3,MF エジソン 8,MF ベッチーニョ 10,MF 松山 広敦 5,MF 田坂 和昭 9,FW 野口 幸司 11,FW アウミール 7,国立霞ヶ丘競技場,曇,10.0,57%
6,465,GK 土田 尚史 1,DF 本吉 剛 3,DF 堀 孝史 2,DF チョウ キジェ 4,DF 杉山 弘一 5,MF 福田 正博 9,MF 柱谷 幸一 6,MF 池田 伸康 8,MF 保坂 信之 7,MF ルンメニゲ 10,FW 水内 猛 11,GK シジマール 1,DF 堀池 巧 4,DF 内藤 直樹 2,DF 山田 泰寛 6,DF ロナウド 3,MF 三浦 泰年 5,MF 太田 貴光 11,MF 澤登 正朗 10,MF トニーニョ 8,FW 長谷川 健太 9,FW 永島 昭浩 7,浦和市駒場スタジアム,曇,10.0,55%
7,469,GK 本並 健治 1,DF ツベイバ 4,DF 島田 貴裕 2,DF 今藤 幸治 3,DF 石井 壮二郎 5,MF 礒貝 洋光 10,MF 見田 雅之 6,MF 松山 吉之 8,MF アレイニコフ 7,FW 山口 敏弘 9,FW プロタソフ 11,GK 前川 和也 1,DF 佐藤 康之 2,DF 柳本 啓成 3,DF 片野坂 知宏 5,DF 森山 佳郎 4,MF 風間 八宏 8,MF 森保 一 7,MF 盧 廷潤 9,MF ハシェック 6,FW 島 卓視 11,FW 高木 琢也 10,万博記念競技場,曇,10.0,37%
8,468,GK 森下 申一 1,DF 東川 昌典 5,DF 伊達 倫央 4,DF 遠藤 昌浩 2,DF パウス 3,MF 古俣 健次 6,MF 吉田 裕幸 8,MF 吉田 光範 7,MF ファネンブルグ 10,FW 中山 雅史 9,FW 鈴木 将方 11,GK ﾊｰﾌﾅｰ・ﾃﾞｨﾄﾞ 1,DF ガルサ 5,DF 小杉 敏之 4,DF 藤川 久孝 3,DF 小川 誠一 2,MF 江川 重光 8,MF ジョルジーニョ 7,MF 鶴田 道弘 6,MF エリベウトン 9,FW 後藤 太郎 11,FW 森山 泰行 10,ジュビロ磐田サッカースタジアム,曇のち雨,15.0,24%
9,467,GK 古島 清人 1,DF 名塚 善寛 6,DF 名良橋 晃 2,DF 岩本 輝雄 4,DF 渡辺 卓 3,MF 反町 康治 9,MF エジソン 8,MF ベッチーニョ 10,MF 田坂 和昭 5,FW 野口 幸司 11,FW アウミール 7,GK 松永 成立 1,DF 平川 弘 2,DF 小村 徳男 5,DF 井原 正巳 4,DF 永山 邦夫 3,MF 水沼 貴史 8,MF 野田 知 7,MF 山田 隆裕 10,MF ディアス 9,MF サパタ 6,FW メディナベージョ 11,平塚競技場,曇のち晴,9.0,47%
